"","V1","V2","V3","V4"
"449","pJ6FmLU-A7I","2023-09-20T21:20:24Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"450","POiF8f9TKvk","2023-09-20T22:42:18Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"451","Lo8W-YWeA6s","2023-09-21T03:45:23Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"452","hTm4xiz55ck","2023-09-21T03:50:28Z","Global News","UChLtXXpo4Ge1ReTEboVvTDg"
"453","HjyqCd3tD2g","2023-09-21T15:00:02Z","Montreal Gazette","UCiiiXY1ue6nb7iqY8o8f62w"
"454","5jH5uWsjQJU","2023-09-21T13:54:46Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"455","Xx90CUeUOlA","2023-09-21T01:19:46Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"456","IKFaGq2n9iM","2023-09-21T02:45:00Z","Global News","UChLtXXpo4Ge1ReTEboVvTDg"
"457","6QnzEMSBWsk","2023-09-21T12:53:34Z","CBS47 KSEE24","UCBjofXtZArg9QSuzOWwbflw"
"458","G-TtSkD-fYk","2023-09-22T08:04:35Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"459","IFxFeKh0HmM","2023-09-22T21:48:14Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"460","0d_bv_LWOoY","2023-09-22T03:24:10Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"461","ErX8jcMpCc0","2023-09-22T16:10:20Z","CP24","UCs3o4RhBiP2wcwqkZR2QVLw"
"462","Xgc6FHzdzbU","Xgc6FHzdzbU","Xgc6FHzdzbU","Xgc6FHzdzbU"
"463","7rh-T5U-tqI","2023-09-22T18:45:11Z","CP24","UCs3o4RhBiP2wcwqkZR2QVLw"
"464","3aE8w_VPyvI","2023-09-22T11:55:31Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"465","K0PVOnNOHB4","2023-09-24T22:52:06Z","WPLG Local 10","UCgVZ0mrM3liHNhRYC5Mchgg"
"466","LdFQhldNKvQ","2023-09-24T21:22:31Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"467","cJTUjlAqy8Y","2023-09-24T23:13:20Z","CHCH News","UCjkETDTi-OBxrN4z5lvaL5A"
"468","aX4841XpsVg","2023-09-24T23:00:00Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"469","NFdDuWO2SnE","2023-09-24T04:56:10Z","KOAA 5","UCUknL1K-YGAa5sIss9t0_ug"
"470","uxweboEdCnQ","2023-09-25T15:15:06Z","Newsmax","UCx6h-dWzJ5NpAlja1YsApdg"
"471","NDimntsVBd8","2023-09-28T04:53:04Z","KSL News Utah","UCUKyRkZuMdNv87E8xbObN4g"
"472","fRjiiZ_-eBs","2023-09-28T13:15:03Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"473","dhCoHEFAk54","2023-09-29T05:15:06Z","CBS News Sacramento","UCxZMOY2RdtK6LQUbIYgec4A"
"474","kyYT_YJREl4","2023-09-29T15:56:54Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA"
"475","5EXwLWW_lOU","2023-09-29T07:04:57Z","WSMV 4 Nashville","UCW3Vc0gEOccJrQC-a25nGdg"
"476","raVrAzIWQNM","2023-09-29T18:19:03Z","KTSM 9 NEWS","UCmZJz1J64RD7Ur7tI09s-FA"
"477","wOlrKjrfGFc","2023-09-30T03:21:50Z","Tv9 Kannada","UC8dnBi4WUErqYQHZ4PfsLTg"
"478","bjkoYoYT5Rk","bjkoYoYT5Rk","bjkoYoYT5Rk","bjkoYoYT5Rk"
"479","0txC413ejwI","2023-09-30T21:10:48Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"480","iIpnx8GS4JI","2023-10-03T03:15:36Z","NewsChannel 5","UCO6kzQ-7wcG0x8W5LpBA9RQ"
"481","pGJ2D4jDJsc","2023-10-03T16:51:27Z","Times News","UCF-VP3b3oH0XASqsLI5rnLw"
"482","g5kQhhgK6T8","2023-10-04T12:11:24Z","The Independent","UCshwRhftzkiov5wKR7M_LsQ"
"483","NqwaI5fR940","2023-10-04T22:31:10Z","WKOW 27 NEWS","UC6ekkA4mmUQBOisHgBqnkiA"
"484","pBGFEOwAydc","2023-10-06T15:16:26Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"485","x5C5UqVLrQ0","2023-10-06T23:04:44Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"486","zVNBXvR28e4","2023-10-07T14:30:18Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"487","pmk868MzjPc","2023-10-08T22:00:20Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"488","MGo5OGXBCQQ","2023-10-09T23:11:47Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"489","YmGt69vMNuE","2023-10-13T13:01:05Z","South China Morning Post","UC4SUWizzKc1tptprBkWjX2Q"
"490","5IKN780cocA","2023-10-14T00:13:01Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"491","ICnJfwS6D2Y","2023-10-14T09:37:14Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"492","FqZGtVaGGvs","2023-10-14T09:38:26Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"493","XJDJByiY2oM","2023-10-14T22:54:27Z","Hawaii News Now","UCBnLE14tUHTDyDc8Xij9rAg"
"494","e6JlCDaT6G4","2023-10-15T17:08:50Z","Channel 3000 / News 3 Now","UCeX20-rTnN46DUD6C7IplWg"
"495","cksC5af4z8w","2023-10-17T17:37:29Z","Iowa's News Now","UCMZHX2oh_s9kFhmCRCNosuw"
"496","hQKZHLH318k","2023-10-17T17:45:15Z","WVIA","UCMXHwsyBEY2-cL5rMVUuKXA"
"497","IHQM9Cgng4s","2023-08-24T21:21:08Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"498","bm65rhtaWJw","2023-08-25T17:35:15Z","ESPN","UCiWLfSweyRNmLpgEHekhoAg"
"499","bS-Is1XPuT0","2023-08-25T05:44:30Z","FOX 10 Phoenix","UCNjfNLnQYbjBEvnS8KFuyGQ"
"500","bi9HeeomSuI","2023-08-26T21:00:25Z","General Conference of Seventh-day Adventists","UC2YkfAO05g6yJzTnIT1D5eg"
"501","XSxr8KG7B1k","2023-08-26T15:00:59Z","Forbes","UCmh7afBz-uWwOSSNTqUBAhg"
"502","WZzJocYlaxI","2023-08-27T16:00:19Z","iHeartRadio","UCoBMK97ZfZmRCqIwMQYdicA"
"503","zbbKeD3nevw","2023-08-27T23:04:24Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"504","KPcx_NXUIrc","2023-08-27T19:36:27Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"505","m4nogFA4PPw","2023-08-28T12:46:05Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"506","ZujsXuHwSaE","2023-08-28T13:45:14Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"507","EbmrmRSfsPw","2023-08-28T15:34:29Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"508","uT6FbVoJfQE","2023-08-29T00:27:55Z","KGET News","UCsHWvReb1khpqK9d6FBE65Q"
"509","zs-J5WYyWBk","2023-08-28T22:43:36Z","ABC7","UCVxBA3Cbu3pm8w8gEIoMEog"
"510","_0GQV_e63Io","2023-08-29T03:44:34Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"511","PVQ-G_4nCJw","2023-08-29T19:05:01Z","Channel 4 News","UCTrQ7HXWRRxr7OsOtodr2_w"
"512","bQcsfb6PHSg","2023-08-29T15:43:33Z","ABC13 Houston","UCDmNmxF3ZVMeGyvWE9tOqPQ"
"513","XXb_LWYFZJc","2023-08-29T23:10:45Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"514","A3prwi6E0F4","2023-08-30T04:00:05Z","KMPH FOX26 NEWS","UCKbj5d8f70i0AYLyiJ3YMXg"
"515","yaLrlXEs7Kg","2023-08-29T22:15:02Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"516","a3LCWt_VBLg","2023-08-30T22:00:11Z","USA TODAY","UCP6HGa63sBC7-KHtkme-p-g"
"517","eeUPva31bo0","2023-08-30T23:07:25Z","KHOU 11","UCXwRxm0zS0jBNTMOVI6xZJw"
"518","hJ88kM6whfM","2023-08-31T01:44:42Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"519","h1HKGe6lXdA","2023-08-31T03:19:16Z","KHOU 11","UCXwRxm0zS0jBNTMOVI6xZJw"
"520","8Pmvr6k9t54","2023-08-31T11:51:22Z","KSAT 12","UCETE4rKzRRjqM0JaB7TlPpQ"
"521","EBpxt-YKtv8","2023-08-31T23:14:13Z","KPRC 2 Click2Houston","UCKQECjul8nw1KW_JzfBTP1A"
"522","Sp_qyFGrsL0","2023-08-31T22:02:25Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"523","uFjVQaW4wG8","2023-08-31T22:19:54Z","KENS 5: Your San Antonio News Source","UCVnjt9mMx46gMUeTtONXimQ"
"524","KgdZ1LpwRYs","2023-09-01T18:30:14Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"525","APgjopBB1nM","2023-09-01T02:17:32Z","12 News","UCu7G08TrwPx_0WH4M7OxjIQ"
"526","lowkUBr7aec","2023-09-02T06:21:55Z","Aaj TV Official","UCgBAPAcLsh_MAPvJprIz89w"
"527","e3kWDStFl5I","2023-09-03T13:29:09Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"528","o5xI11oHbnY","2023-09-03T11:15:04Z","Rocky Mountain PBS","UCaXsK6jf0AddIiYEjYmzVWw"
"529","iHp_Q0rO1bw","2023-09-03T22:27:18Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"530","aCjl9dg_KZo","2023-09-04T12:45:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"531","kXVGrmf36pw","2023-09-04T03:01:38Z","FOX 7 Austin","UC5maSolHQX9er0BOxrzjMwA"
"532","cSOiU_LBFWs","2023-09-04T22:17:44Z","WATE 6 On Your Side","UCMmuHfeLHhAA5Q8WWc1e0eA"
"533","Cj4XP_t6FOg","2023-09-05T14:38:09Z","WDHN","UC9CujfB962dlYdxBkalY_WA"
"534","vid5lt9kgg4","2023-09-04T22:15:09Z","FOX 4 Dallas-Fort Worth","UCruQg25yVBppUWjza8AlyZA"
"535","i2oYzgyRW4A","2023-09-06T09:57:47Z","OutlookIndia","UCMV-o0NQaBeldj1YaiY4xvg"
"536","pYSDHy8K5dg","2023-09-06T05:33:33Z","CBS News Sacramento","UCxZMOY2RdtK6LQUbIYgec4A"
"537","2bPk0-2s_W4","2023-09-06T20:03:42Z","WAAY 31 News","UCpQiwFjomzBHJN-TpdLZxBg"
"538","Uthn7Zc0LUI","2023-04-25T06:46:04Z","RTÉ News","UC8urSFTmQDxaPDEIZ2Fd63Q"
"539","QYyiAx2wydk","2023-04-27T00:04:40Z","CBS Evening News","UCAeWdyKJXGWmVAXFpgLNNTg"
"540","bHDdWDL5uFc","2023-04-26T21:07:59Z","Washington Post","UCHd62-u_v4DvJ8TCFtpi4GA"
"541","eDFAUEAHFtg","2023-04-29T16:10:25Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ"
"542","2Pyz5GdIIb4","2023-05-01T22:27:00Z","KVUE","UCxXTyFekH99JnS3qaXIQW7A"
"543","xuNX75Gf-zQ","2023-05-02T05:18:27Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"544","poZJUuKlT4s","2023-05-02T00:19:14Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"545","zV-9yD6rWuU","2023-05-02T13:36:07Z","News4JAX The Local Station","UC_YFbvKedjnVjqrZqBR4L8Q"
"546","o-M3gNvV1Jk","2023-05-03T21:16:19Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"547","Nx4FFgAGx_k","2023-05-03T21:21:23Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"548","MHHP6L7-oxU","2023-05-04T11:11:46Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"549","J-ZBBgUCIIw","2023-05-04T19:32:40Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"550","SQitG3NsRdk","2023-05-04T15:00:27Z","Piers Morgan Uncensored","UCatt7TBjfBkiJWx8khav_Gg"
"551","x1mvNaNPxJ0","2023-05-05T02:22:57Z","FOX59 News","UCktceZtn0Kxd53qjjM2KzqA"
"552","mtyl0QPbP1k","2023-05-05T03:46:39Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"553","ORv1eGpoY2E","2023-05-05T14:51:47Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"554","0YpSXpq7iIg","2023-05-06T13:54:04Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"555","bwbTKyC-3PQ","2023-05-06T03:12:15Z","BOL News","UCz2yxQJZgiB_5elTzqV7FiQ"
"556","vyowH99uyMo","2023-10-20T14:34:01Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"557","HxqYTrs1Yds","2023-10-20T13:48:48Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"558","ZsmPenD2BII","2023-10-20T14:35:13Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"559","vAsenCIqMXs","2023-10-21T12:39:08Z","V6 News Telugu","UCDCMjD1XIAsCZsYHNMGVcog"
"560","qYmgFHBVm-w","2023-10-25T00:57:37Z","FOX 5 Washington DC","UCHLyP4MuA-JAFBCwxXOEDdA"
"561","93BiYMzr5bk","2023-10-26T03:14:22Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"562","kjl0teN62so","2023-10-25T13:00:39Z","Center for Strategic & International Studies","UCr5jq6MC_VCe1c5ciIZtk_w"
"563","L0A0UlfGMyM","2023-10-26T22:51:02Z","KJRH -TV | Tulsa | Channel 2","UChrpaYlmaVsVyEF0bTqmuHw"
"564","3GjUM0HRHrU","2023-10-27T05:13:50Z","Citizen TV Kenya","UChBQgieUidXV1CmDxSdRm3g"
"565","DMLn6ENySW8","2023-10-28T03:46:24Z","OTV","UCCgLMMp4lv7fSD2sBz1Ai6Q"
"566","3dkYVU6hdoI","2023-10-28T01:28:23Z","Ball State All-Access","UC2NNBELgITQgnnBVg2jak0g"
"567","8RBcXen4OrE","2023-10-28T22:00:07Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"568","C5i6HSM7ziI","2023-10-29T19:19:57Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"569","jvfVxiM_TxU","2023-10-29T20:40:11Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"570","rShkjy-MYw4","2023-10-29T22:00:31Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"571","Wlni-X29emE","2023-10-29T22:30:05Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"572","mf4PkKAAVlQ","2023-10-30T11:33:31Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"573","8XViT5xqTpI","2023-10-31T22:29:00Z","WPLG Local 10","UCgVZ0mrM3liHNhRYC5Mchgg"
"574","nr1Oa1f523k","2023-11-03T13:15:02Z","South Florida PBS","UCyhPKRdzGskJekibUnJiZyQ"
"575","vXC6Kbtuipk","2023-11-04T17:28:00Z","New York Post","UCrvhNP_lWuPIP6QZzJmM-bw"
"576","5cElO_vobGM","2023-11-09T17:09:42Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ"
"577","8IxlqqFJyNU","2023-11-09T17:28:28Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"578","qlg8PTQh-aQ","2023-11-09T18:30:34Z","ABC 7 Chicago","UC_vFLohxs5PkAxlk7Y6jEtw"
"579","mTMt-N7gC18","2023-11-09T04:50:12Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"580","955RMXTRtD4","2023-11-10T15:11:26Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"581","bEFTYl-DBos","2023-11-09T23:46:06Z","FOX 4 Dallas-Fort Worth","UCruQg25yVBppUWjza8AlyZA"
"582","VjDp1NniLKI","2023-11-11T00:19:18Z","25 News KXXV","UCOE42duvEjXG48b6BtOFBGA"
"583","Rl43P6nVlzo","2023-11-11T23:00:13Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"584","zIH-biNBs_A","2023-11-11T18:30:41Z","Good Morning America","UCH1oRy1dINbMVp3UFWrKP0w"
"585","UQNsP8jXGdg","2023-11-13T18:25:52Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg"
"586","JpzRjsvyXr4","2023-11-14T09:24:01Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"587","Q14C9B5QM8s","2023-11-14T18:18:20Z","CBS Mornings","UC-SJ6nODDmufqBzPBwCvYvQ"
"588","kzEZ-nA28Eg","2023-11-14T11:55:14Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"589","B0EMLywYQ28","2023-11-15T10:38:44Z","KHOU 11","UCXwRxm0zS0jBNTMOVI6xZJw"
"590","LyMvUOQSJaw","2023-11-15T17:30:17Z","Newstalk","UCyQkMUy1w7X7pZEqq2j-1CQ"
"591","tZAqYeWPC3w","2023-11-15T16:31:37Z","6abc Philadelphia","UCw77677G3EAODp61b0izs7w"
"592","NLP5Mk4HmUs","2023-11-16T00:05:12Z","6abc Philadelphia","UCw77677G3EAODp61b0izs7w"
"593","GVxZpcSvlCo","2023-11-16T02:24:29Z","ABC10","UCT350j4u6alUKyF9eu2bGug"
"594","Ny-RIqvgAJA","2023-11-18T17:00:14Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"595","0k0ftmszM5k","2023-11-20T17:00:09Z","Los Angeles Times","UCw3SYO_euO0TSPC_m_0Pzgw"
"596","cmfOT1rb_U8","2023-11-21T04:16:50Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"597","7fNbROO6_kg","2023-11-21T03:42:30Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ"
"598","tyUFjZM-G78","2023-11-21T05:20:38Z","ABC4 Utah","UCCjsvWYJ00k9T6C20iBH2-g"
"599","ElMSu9zymx4","2023-11-21T11:39:23Z","ABC News (Australia)","UCVgO39Bk5sMo66-6o6Spn6Q"
"600","NX7k36NwRt8","2023-11-07T21:00:14Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"601","vX5Vj0cUex0","2023-11-08T12:06:10Z","BOL News","UCz2yxQJZgiB_5elTzqV7FiQ"
"602","JMHD6QeZLMw","2023-11-09T22:57:42Z","The Globe and Mail","UCsZYUb8C_19bWOCKF9jRwSg"
"603","CvOSMhcTGl0","2023-11-10T22:59:10Z","Inside Edition","UC9k-yiEpRHMNVOnOi_aQK8w"
"604","71yJmLxgdNY","2023-11-13T17:37:33Z","Human Rights Campaign","UCHZeKyjqpK9diTD1g4yDl5g"
"605","h9SRUVIy-yI","2023-11-13T17:59:12Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg"
"606","2cNotY3J-Ew","2023-11-14T02:11:46Z","KPBS Public Media","UCP9Zo2a0-bS9oPd_8tl92rQ"
"607","lM4amuGcWeI","2023-11-14T21:03:51Z","Inside Edition","UC9k-yiEpRHMNVOnOi_aQK8w"
"608","WHX5eJ0FF_Y","2023-11-15T19:00:20Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"609","_NY2fL1VhoM","2023-11-16T16:36:22Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"610","iqXdLfwHNkg","2023-11-16T22:12:54Z","NJ Spotlight News","UCa80ZoUUvKdOpuWN6khnWaA"
"611","zOqxa0i_x4E","2023-11-16T22:56:33Z","CBS Boston","UCi4fcBVyo4CAnmdgXeO-NvA"
"612","07SD1oEl2-0","2023-11-17T01:50:24Z","KOIN 6","UCXN7rPhZK6Rp8lMhvpSri_Q"
"613","cAFas59FWME","2023-11-18T00:27:19Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"614","61hchq7HI-4","2023-11-19T19:18:36Z","Associated Press","UC52X5wxOL_s5yw0dQk7NtgA"
"615","rQzFSfs_e70","2023-11-20T04:40:54Z","WTOL11","UCrLGxsBRktzKo-KNWC-nfEw"
"616","gFqT2CqY5p8","2023-11-20T15:17:27Z","CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q"
"617","wQQH49d1oAE","2023-08-09T18:00:06Z","PragerU","UCZWlSUNDvCCS1hBiXV0zKcA"
"618","nImzcjA5QfU","2023-08-10T19:26:36Z","Atlanta News First ","UCWElIIlFx2JiyI9UVrbrEcw"
"619","HtfOMTTagqk","2023-08-10T05:49:40Z","Louisiana First News","UC38l1n6mIvpFNGWdtuv_N6A"
"620","K1c9L8QSqgk","2023-08-10T11:30:25Z","BOL News","UCz2yxQJZgiB_5elTzqV7FiQ"
"621","2OG0vlxBLSc","2023-08-10T17:51:55Z","Geo News","UC_vt34wimdCzdkrzVejwX9g"
"622","sn9agts_vcw","2023-08-11T12:48:27Z","ABC7","UCVxBA3Cbu3pm8w8gEIoMEog"
"623","G6VX1qrpYUU","2023-08-11T21:10:24Z","Rebel News","UCGy6uV7yqGWDeUWTZzT3ZEg"
"624","ScS-w5RF95c","2023-08-11T21:23:36Z","FOX 5 Atlanta","UCjHWv2DU5-HLpogAAr386DQ"
"625","_DSsx9ULt2U","2023-08-11T18:46:15Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg"
"626","n3tUBqmY_PE","2023-08-12T05:58:59Z","CBS LA","UCkH1uDkyuO9sVjSqdqBygOg"
"627","nCiSNLqHVkU","2023-08-12T17:00:33Z","WLUK-TV FOX 11","UC72xzKVi3b_2oed6zQ8KKQg"
"628","KtKUjpaM4j0","2023-08-12T21:00:07Z","djvlad","UCg7lal8IC-xPyKfgH4rdUcA"
"629","YsC9ZfDWmrI","2023-08-14T00:57:58Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"630","KNUr8hG1H5U","2023-08-14T09:45:00Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"631","8DeGiblwMrk","2023-08-14T11:24:56Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"632","K6cEVPuetEY","2023-08-14T13:00:24Z","WKMG News 6 ClickOrlando","UCjpzEgbbDUg4YC6vpSrzsyg"
"633","89iiVm5hnFk","2023-08-16T14:22:24Z","NBC4 Washington","UC1VKVKhJLc7PjdPPVxTDk0Q"
"634","RRb8O6WHjKw","2023-08-18T23:26:33Z","Scripps News","UCTln5ss6h6L_xNfMeujfPbg"
"635","4HK8cC4SJ_w","2023-08-19T21:25:59Z","PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ"
"636","wd771JxBLVA","2023-08-21T21:30:53Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"637","SlmLM4Ipx-8","2023-08-22T10:57:24Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"638","20uYwoYmkWk","2023-08-23T00:47:53Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"639","_jtY5SfyHTg","2023-07-31T20:22:04Z","KING 5 Seattle","UCp1KrVaZDZ7BOI_QBuTWWmg"
"640","4QRsX7nHuLw","2023-07-31T21:00:01Z","WTKR News 3","UC9AZ9PM8UaMrsto6pCjJ75Q"
"641","O32mst7qOWI","2023-08-01T12:05:10Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"642","6Qy-FxoeZ1w","2023-08-02T05:24:29Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"643","qgSxRgEgwp0","2023-08-02T10:02:23Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"644","iua5RNyzr7A","2023-08-02T00:55:01Z","WKMG News 6 ClickOrlando","UCjpzEgbbDUg4YC6vpSrzsyg"
"645","UNpzORIG0bk","2023-08-03T03:24:26Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"646","kFqm8A9QDbw","2023-08-03T11:06:30Z","WTHR","UCSFLs1nwzqSC3Tq6cXhJkLg"
"647","JRCUaigjBTU","2023-08-03T22:19:05Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"648","ZMcLRYPg3f4","2023-08-04T03:20:16Z","WKMG News 6 ClickOrlando","UCjpzEgbbDUg4YC6vpSrzsyg"
"649","OW7lbXyWtQU","2023-08-04T16:56:28Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"650","eWT_zaRsd1w","2023-08-04T20:30:35Z","TMZ","UCK7IIV6Q2junGSdYK3BmZMg"
"651","dailRU9a-mw","2023-08-05T09:00:11Z","SHOWSHA","UCLnuTrdp3MBzo9ZPig5szbQ"
"652","juqTbfD_QZM","2023-08-07T04:30:12Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"653","_xyb1XReaSs","2023-08-07T21:28:26Z","Access Hollywood","UCiKGMZZmZXK-RpbKJGXgH3Q"
"654","tbMhvT-FnBg","2023-08-07T23:19:16Z","TMJ4 News","UCKdALw0BErtqmGI2AUtbbhg"
"655","GL4lGMdlunc","2023-08-07T23:00:05Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"656","fZt6WyZcjbw","2023-08-08T00:10:56Z","TMJ4 News","UCKdALw0BErtqmGI2AUtbbhg"
"657","i3V4_fGm8F0","2023-08-09T02:47:40Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"658","0ArQPVSdfFw","2023-08-09T03:11:48Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"659","Xay4zrVHB-4","2023-08-09T03:17:24Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"660","w26IRbpiL5Y","2023-08-09T20:50:41Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"661","xqhfFQbkW-k","2023-08-09T22:02:33Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"662","vlzsGUo5m-0","2023-08-09T03:34:17Z","CBS19","UCJp7gd3QZvweXGnevptxJng"
"663","HyMdiwTKd9k","2023-08-11T14:30:06Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"664","gCoECtE7V90","2023-08-11T05:26:50Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg"
"665","4oSdEkBeEqA","2023-08-13T20:21:48Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"666","4Q9ZD-pIga4","2023-08-14T12:44:29Z","WKMG News 6 ClickOrlando","UCjpzEgbbDUg4YC6vpSrzsyg"
"667","yN4ueW6zZd0","2023-08-28T11:15:07Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"668","IKseW4JBWgk","2023-08-29T13:28:33Z","KPRC 2 Click2Houston","UCKQECjul8nw1KW_JzfBTP1A"
"669","ETx8i150umg","2023-08-29T21:21:10Z","WTWO WAWV TV","UCIP2cEDV6vZ7-8TNmJQzsiQ"
"670","4eWjr8QSDKQ","2023-08-29T12:04:23Z","KCRG-TV9: Your Trusted Local News Source","UCVg0ul_tJm6uNvTmZxEtXJA"
"671","R9VU4to32Hw","2023-08-30T03:21:57Z","KENS 5: Your San Antonio News Source","UCVnjt9mMx46gMUeTtONXimQ"
