"","EntryPublished","the_day","year","month","video_ID","posted_on_YT","channel name","yt_long_ID","EntryTitle","EntryURL","keyword","region","RSS"
"37","May 19, 2023 at 02:18AM","2023-05-19",2023,5,"_yZe2bOx_is","2023-05-18T22:56:27Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA","DeSantis signs bills targeting drag shows, transgender kids and the use of bathrooms and pronouns","https://www.youtube.com/watch?v=_yZe2bOx_is","transgender","all regions",1916116072231156224
"38","May 19, 2023 at 02:18AM","2023-05-19",2023,5,"_yZe2bOx_is","2023-05-18T22:56:27Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA","DeSantis signs bills targeting drag shows, transgender kids and the use of bathrooms and pronouns","https://www.youtube.com/watch?v=_yZe2bOx_is","transgender","USA",11193014132467406848
"39","September 07, 2023 at 03:34PM","2023-09-07",2023,9,"-_40_JrUv_Y","2023-09-07T13:01:50Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","Dave Rubin on Bill Maher telling Ramaswamy Republicans are racist - YouTube","https://www.youtube.com/watch?v=-_40_JrUv_Y","gender ideology","all regions",8717893479030415360
"40","December 31, 2023 at 02:27PM","2023-12-31",2023,12,"-02LF956kCI","2023-12-31T19:25:17Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Transgender women to be allowed to BOX females in US - 'It's SCARY!' - YouTube","https://www.youtube.com/watch?v=-02LF956kCI","transgender","all regions",1916116072231156224
"41","December 31, 2023 at 02:27PM","2023-12-31",2023,12,"-02LF956kCI","2023-12-31T19:25:17Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Transgender women to be allowed to BOX females in US - 'It's SCARY!' - YouTube","https://www.youtube.com/watch?v=-02LF956kCI","transgender","USA",11193014132467406848
"42","December 04, 2023 at 03:07PM","2023-12-04",2023,12,"-1cZSqH2Vgk","2023-12-04T18:30:00Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA","NY Times op-ed shocks mother: 'Stupidity at its finest' - YouTube","https://www.youtube.com/watch?v=-1cZSqH2Vgk","gender ideology","all regions",8717893479030415360
"43","August 24, 2023 at 01:26PM","2023-08-24",2023,8,"-1IgL0g_Q3U","2023-08-23T22:59:18Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw","Virginia Beach rejects transgender resolution -- where other school divisions stand on new policies","https://www.youtube.com/watch?v=-1IgL0g_Q3U","transgender","all regions",1916116072231156224
"44","August 24, 2023 at 01:26PM","2023-08-24",2023,8,"-1IgL0g_Q3U","2023-08-23T22:59:18Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw","Virginia Beach rejects transgender resolution -- where other school divisions stand on new policies","https://www.youtube.com/watch?v=-1IgL0g_Q3U","transgender","USA",11193014132467406848
"45","May 17, 2023 at 09:08AM","2023-05-17",2023,5,"-1y_hfR3Zgk","2023-05-17T12:54:44Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg","KXAN News Today | Wednesday, May 17 morning headlines - YouTube","https://www.youtube.com/watch?v=-1y_hfR3Zgk","biological sex","all regions",17630397442231169024
"46","May 17, 2023 at 09:08AM","2023-05-17",2023,5,"-1y_hfR3Zgk","2023-05-17T12:54:44Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg","KXAN News Today | Wednesday, May 17 morning headlines - YouTube","https://www.youtube.com/watch?v=-1y_hfR3Zgk","biological sex","USA",16843718063138846720
"47","August 01, 2023 at 10:34AM","2023-08-01",2023,8,"-4IJ8WGk678","-4IJ8WGk678","-4IJ8WGk678","-4IJ8WGk678","Big law firms have the same problem as Barbie - gender bias (Podcast) - YouTube","https://www.youtube.com/watch?v=-4IJ8WGk678","gender ideology","all regions",8717893479030415360
"48","September 21, 2023 at 07:03PM","2023-09-21",2023,9,"-8XwDrZp-94","2023-09-21T22:10:55Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg","Montreal-area man alleges assault, profiling by Longueuil police - YouTube","https://www.youtube.com/watch?v=-8XwDrZp-94","gender ideology","all regions",8717893479030415360
"49","September 09, 2023 at 04:27PM","2023-09-09",2023,9,"-99AmUtn5qA","2023-09-09T20:20:14Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Let's completely get rid of race!' | Lin Mei slams modern ideology surrounding race","https://www.youtube.com/watch?v=-99AmUtn5qA","gender ideology","all regions",8717893479030415360
"50","July 23, 2023 at 01:49AM","2023-07-23",2023,7,"-9uVNfm1QTo","2023-07-22T23:29:05Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q","Black history education battle in Florida l WNT - YouTube","https://www.youtube.com/watch?v=-9uVNfm1QTo","gender identity","USA",4028362110021709824
"51","December 22, 2023 at 03:19PM","2023-12-22",2023,12,"-ar_Jzk4r5k","2023-12-22T20:00:00Z","Aberdeen Football Club","UCPBQJlE7us7HqJHmgQgWw3Q","Getting into the festive spirit - YouTube","https://www.youtube.com/watch?v=-ar_Jzk4r5k","gender identity","all regions",14792114867614312448
"52","December 23, 2023 at 04:58AM","2023-12-23",2023,12,"-Asjwjf9bc4","2023-12-23T09:37:26Z","DawnNews","UCaxR-D8FjZ-2otbU0_Y2grg","Application For Special Seat Of Transgenders In Elections | 2 PM | Dawn News Headlines - YouTube","https://www.youtube.com/watch?v=-Asjwjf9bc4","transgender","all regions",1916116072231156224
"53","April 30, 2023 at 05:25PM","2023-04-30",2023,4,"-CBA40rVeO8","2023-04-30T11:44:08Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","People are sick' of drag show ideology: United Australia Senator - YouTube","https://www.youtube.com/watch?v=-CBA40rVeO8","gender ideology","all regions",8717893479030415360
"54","October 24, 2023 at 12:57PM","2023-10-24",2023,10,"-dkx3-rTHDk","2023-10-24T16:53:57Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Kids being taught gender ideology and 'fruity' content in class - YouTube","https://www.youtube.com/watch?v=-dkx3-rTHDk","gender ideology","all regions",8717893479030415360
"55","February 13, 2023 at 04:29AM","2023-02-13",2023,2,"-DS8WGaCMhI","2023-02-13T09:13:31Z","Switch","UCjFKMoAk3qhRkW4eOqNm6dw","क्या ट्रांसजेंडर बन सकते हैं माता-पिता? जानें आखिर कैसे | Transgender Pregnancy | Viral News","https://www.youtube.com/watch?v=-DS8WGaCMhI","transgender","USA",11193014132467406848
"56","July 09, 2023 at 06:26PM","2023-07-09",2023,7,"-ekY3V2zTmE","2023-07-09T20:18:43Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg","Toronto's first Black female city councillor passes away | Remembering Beverley Salmon","https://www.youtube.com/watch?v=-ekY3V2zTmE","gender identity","USA",4028362110021709824
"57","December 07, 2023 at 04:57AM","2023-12-07",2023,12,"-fMcwQDclAM","2023-12-07T01:57:44Z","The Daily Signal","UCHqkXbgqrDrDVInBMSoGQgQ","DeSantis: Truck Drivers Shouldn't Pay for Gender Studies Student Loans - YouTube","https://www.youtube.com/watch?v=-fMcwQDclAM","transgenderism","all regions",15658552694435684352
"58","April 11, 2023 at 10:58AM","2023-04-11",2023,4,"-fqpqFxwHO8","2023-04-11T14:57:12Z","KREM 2 News","UCExxWMXIf8UR5xb4eQTdh7A","Up with KREM Headlines: Tuesday, April 11, 2023 - YouTube","https://www.youtube.com/watch?v=-fqpqFxwHO8","gender identity","USA",4028362110021709824
"59","October 02, 2023 at 01:42PM","2023-10-02",2023,10,"-GQhACRPirM","2023-10-02T17:37:43Z","KCRG-TV9: Your Trusted Local News Source","UCVg0ul_tJm6uNvTmZxEtXJA","Poll: College campuses quiet conservatives - YouTube","https://www.youtube.com/watch?v=-GQhACRPirM","gender confusion","all regions",15648170854463737856
"60","May 24, 2023 at 05:51PM","2023-05-24",2023,5,"-jgsRSNW-iY","2023-05-24T21:39:50Z","NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA","Transgender bathroom bill restricting use in schools, colleges proposed at Ohio Statehouse","https://www.youtube.com/watch?v=-jgsRSNW-iY","transgender","USA",11193014132467406848
"61","May 24, 2023 at 05:51PM","2023-05-24",2023,5,"-jgsRSNW-iY","2023-05-24T21:39:50Z","NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA","Transgender bathroom bill restricting use in schools, colleges proposed at Ohio Statehouse","https://www.youtube.com/watch?v=-jgsRSNW-iY","transgender","all regions",1916116072231156224
