"","year","pullURL","url_stub","country","publication","pubdate","articleID"
"111",2025,"pressreader.com","ireland/irish-daily-mail/20251119/281569477009029","ireland","irish daily mail","20251119","281569477009029"
"112",2025,"pressreader.com","ireland/irish-daily-mail/20251210/281595246855761","ireland","irish daily mail","20251210","281595246855761"
"113",2025,"pressreader.com","ireland/irish-daily-mail/20250616/282273851328664","ireland","irish daily mail","20250616","282273851328664"
"114",2025,"pressreader.com","ireland/irish-daily-mail/20250822/281702620815167","ireland","irish daily mail","20250822","281702620815167"
"115",2025,"pressreader.com","ireland/irish-daily-mail/20250905/281651081235716","ireland","irish daily mail","20250905","281651081235716"
"116",2025,"pressreader.com","ireland/irish-daily-mail/20251006/281530822214018","ireland","irish daily mail","20251006","281530822214018"
"117",2024,"pressreader.com","ireland/irish-daily-mail/20241213/281921663636904","ireland","irish daily mail","20241213","281921663636904"
"118",2025,"pressreader.com","ireland/irish-daily-mirror/20251119/281698326028714","ireland","irish daily mirror","20251119","281698326028714"
"119",2025,"pressreader.com","ireland/irish-daily-mirror/20251210/281741275744599","ireland","irish daily mirror","20251210","281741275744599"
"120",2025,"pressreader.com","ireland/irish-daily-mirror/20250308/281505051981818","ireland","irish daily mirror","20250308","281505051981818"
"121",2025,"pressreader.com","ireland/irish-daily-star/20251119/281895894523529","ireland","irish daily star","20251119","281895894523529"
"122",2025,"pressreader.com","ireland/irish-daily-star/20251210/281715505939903","ireland","irish daily star","20251210","281715505939903"
"123",2024,"pressreader.com","ireland/irish-daily-star/20241213/281676850500811","ireland","irish daily star","20241213","281676850500811"
"124",2025,"pressreader.com","ireland/irish-independent/20251119/281513642435039","ireland","irish independent","20251119","281513642435039"
"125",2025,"pressreader.com","ireland/irish-independent/20250109/281608131075568","ireland","irish independent","20250109","281608131075568"
"126",2024,"pressreader.com","ireland/irish-independent/20241213/281608131024769","ireland","irish independent","20241213","281608131024769"
"127",2025,"pressreader.com","ireland/sunday-independent-ireland/20251214/281668261308679","ireland","sunday independent ireland","20251214","281668261308679"
"128",2025,"pressreader.com","ireland/sunday-independent-ireland/20251123/281625311592702","ireland","sunday independent ireland","20251123","281625311592702"
"129",2025,"pressreader.com","ireland/sunday-independent-ireland/20251116/282806427584864","ireland","sunday independent ireland","20251116","282806427584864"
"130",2025,"pressreader.com","ireland/sunday-independent-ireland/20251116/281715505891680","ireland","sunday independent ireland","20251116","281715505891680"
"131",2025,"pressreader.com","ireland/sunday-independent-ireland/20251116/281715505891680","ireland","sunday independent ireland","20251116","281715505891680"
"132",2025,"pressreader.com","ireland/sunday-independent-ireland/20250810/281891599352588","ireland","sunday independent ireland","20250810","281891599352588"
"133",2025,"pressreader.com","ireland/sunday-independent-ireland/20250629/281608131425207","ireland","sunday independent ireland","20250629","281608131425207"
"134",2025,"pressreader.com","ireland/sunday-independent-ireland/20250810/281891599352588","ireland","sunday independent ireland","20250810","281891599352588"
"135",2025,"pressreader.com","ireland/sunday-independent-ireland/20250629/281608131425207","ireland","sunday independent ireland","20250629","281608131425207"
"136",2025,"pressreader.com","ireland/sunday-independent-ireland/20250511/281586656488961","ireland","sunday independent ireland","20250511","281586656488961"
"137",2025,"pressreader.com","ireland/sunday-independent-ireland/20250803/281900189273365","ireland","sunday independent ireland","20250803","281900189273365"
"138",2025,"pressreader.com","ireland/sunday-independent-ireland/20250427/281642491034937","ireland","sunday independent ireland","20250427","281642491034937"
"139",2025,"pressreader.com","ireland/sunday-independent-ireland/20251019/281925959232389","ireland","sunday independent ireland","20251019","281925959232389"
"140",2025,"pressreader.com","ireland/sunday-independent-ireland/20251109/281629606531509","ireland","sunday independent ireland","20251109","281629606531509"
"141",2025,"pressreader.com","ireland/sunday-world-8014/20250810/281595246609068","ireland","sunday world 8014","20250810","281595246609068"
"142",2025,"pressreader.com","ireland/sunday-world-8014/20250810/282522959545004","ireland","sunday world 8014","20250810","282522959545004"
"143",2025,"pressreader.com","ireland/sunday-world-8014/20250810/281595246609068","ireland","sunday world 8014","20250810","281595246609068"
"144",2025,"pressreader.com","ireland/sunday-world-8014/20250810/282522959545004","ireland","sunday world 8014","20250810","282522959545004"
"145",2025,"pressreader.com","ireland/the-herald-1253/20250708/281625311313063","ireland","the herald 1253","20250708","281625311313063"
"146",2025,"pressreader.com","ireland/the-herald-1253/20251129/281560887095892","ireland","the herald 1253","20251129","281560887095892"
"147",2025,"pressreader.com","ireland/the-irish-mail-on-sunday/20250810/282050513142365","ireland","the irish mail on sunday","20250810","282050513142365"
"148",2025,"pressreader.com","ireland/the-irish-mail-on-sunday/20250720/282046218132877","ireland","the irish mail on sunday","20250720","282046218132877"
"149",2025,"pressreader.com","israel/jerusalem-post/20250720/281762750291140","israel","jerusalem post","20250720","281762750291140"
"150",2025,"pressreader.com","israel/jerusalem-post/20250707/281659671048167","israel","jerusalem post","20250707","281659671048167"
"151",2025,"pressreader.com","jamaica/jamaica-gleaner/20250216/283068420035405","jamaica","jamaica gleaner","20250216","283068420035405"
"152",2025,"pressreader.com","jamaica/jamaica-gleaner/20251122/281505052507382","jamaica","jamaica gleaner","20251122","281505052507382"
"153",2025,"pressreader.com","jamaica/jamaica-gleaner/20250126/282411289994805","jamaica","jamaica gleaner","20250126","282411289994805"
"154",2025,"pressreader.com","jamaica/jamaica-gleaner/20250126/282561613850165","jamaica","jamaica gleaner","20250126","282561613850165"
"155",2025,"pressreader.com","kenya/people-daily-epaper/20251122/281633901524879","kenya","people daily epaper","20251122","281633901524879"
"156",2025,"pressreader.com","kenya/people-daily-epaper/20251122/281633901524879","kenya","people daily epaper","20251122","281633901524879"
"157",2026,"pressreader.com","malaysia/the-star-malaysia/20260104/283081305586643","malaysia","the star malaysia","20260104","283081305586643"
"158",2026,"pressreader.com","malaysia/the-star-malaysia/20260104/283081305586643","malaysia","the star malaysia","20260104","283081305586643"
"159",2025,"pressreader.com","malaysia/the-star-malaysia/20250727/282467124941659","malaysia","the star malaysia","20250727","282467124941659"
"160",2025,"pressreader.com","malta/the-sunday-times-malta-1805/20251102/281608131680643","malta","the sunday times malta 1805","20251102","281608131680643"
"161",2025,"pressreader.com","new-zealand/manawatu-standard/20250801/281908779203031","new","manawatu standard","20250801","281908779203031"
"162",2025,"pressreader.com","new-zealand/manawatu-standard/20250801/281908779203031","new","manawatu standard","20250801","281908779203031"
"163",2025,"pressreader.com","new-zealand/new-zealand-listener/20250407/282123527330070","new","new zealand listener","20250407","282123527330070"
"164",2026,"pressreader.com","new-zealand/new-zealand-listener/20260209/281659671482023","new","new zealand listener","20260209","281659671482023"
"165",2025,"pressreader.com","new-zealand/otago-daily-times/20250118/282192246645305","new","otago daily times","20250118","282192246645305"
"166",2025,"pressreader.com","new-zealand/sunday-star-times/20250803/282724822993417","new","sunday star times","20250803","282724822993417"
"167",2026,"pressreader.com","new-zealand/the-new-zealand-herald/20260127/281621016750742","new","the new zealand herald","20260127","281621016750742"
"168",2026,"pressreader.com","new-zealand/the-post-1022/20260123/281702621122062","new","the post 1022","20260123","281702621122062"
"169",2025,"pressreader.com","new-zealand/the-press/20251115/281981793861172","new","the press","20251115","281981793861172"
"170",2025,"pressreader.com","new-zealand/the-press/20250519/281745570293813","new","the press","20250519","281745570293813"
"171",2025,"pressreader.com","new-zealand/the-press/20250519/281745570293813","new","the press","20250519","281745570293813"
"172",2025,"pressreader.com","philippines/business-world/20250808/281599541571734","philippines","business world","20250808","281599541571734"
"173",2026,"pressreader.com","philippines/daily-tribune-philippines/20260209/281685441287283","philippines","daily tribune philippines","20260209","281685441287283"
"174",2026,"pressreader.com","philippines/daily-tribune-philippines/20260209/281685441287283","philippines","daily tribune philippines","20260209","281685441287283"
"175",2025,"pressreader.com","philippines/manila-bulletin/20251224/282175067468766","philippines","manila bulletin","20251224","282175067468766"
"176",2025,"pressreader.com","south-africa/daily-maverick/20250808/282467124965646","south","daily maverick","20250808","282467124965646"
"177",2025,"pressreader.com","south-africa/daily-maverick/20250808/282467124965646","south","daily maverick","20250808","282467124965646"
"178",2025,"pressreader.com","south-africa/sunday-tribune-south-africa/20250601/282406995284910","south","sunday tribune south africa","20250601","282406995284910"
"179",2025,"pressreader.com","south-africa/the-independent-on-saturday/20251101/281861534749004","south","the independent on saturday","20251101","281861534749004"
"180",2025,"pressreader.com","south-africa/the-mercury-south-africa/20250417/281543706767550","south","the mercury south africa","20250417","281543706767550"
"181",2025,"pressreader.com","thailand/bangkok-post/20251222/282222312104725","thailand","bangkok post","20251222","282222312104725"
